dataset_index,full_name,pdes,neo,a,e,i,q,om,w,moid,diameter,E_M_useful_kg,sigma_M_kg,value_usd,comp_class,value_per_kg,total_mass_kg,dv_out_kms,cargo_LLO_kg,dry_mass_kg,prop_mass_kg,tof_out_days,loiter_days,tof_ret_days,mission_time_days,mission_cost_usd,revenue_LLO_usd,net_cost_usd,direct_cost_usd,feasible,verdict,profit_usd,direct_minus_mining_usd,total_time_years
46208, 46209 (2001 FK160),46209,N,2.833310047212839,0.0548007360044106,16.54365483472161,2.678042571296884,201.3236657036099,233.0268098459998,1.71492,9.915,259293590662946.0,25929359066294.6,0.9999,C,0.9999,678779033149073.2,7.042754990418911,62278.999236170814,55000.0,1576870.621527494,359.3220338983051,1782.915254237288,372.08474576271186,2514.322033898305,1637198610.6167717,62272.7713362472,1637136337.8454354,302007183.61121297,True,direct_cheaper_than_mining,-1637136337.8454354,-1335129154.2342224,6.883838559612061
604246,       (2010 HW44),2010 HW44,N,3.415032563527936,0.1706195360871955,23.22481642504237,2.832361291816134,149.2092643287217,139.6555530478564,1.85273,3.547,11871270243809.102,1187127024380.9102,0.9999,C,0.9999,31076623674892.938,6.992536568719147,45936.62743725114,55000.0,2199190.8847104553,503.3898305084746,0.0,619.4745762711864,1122.8644067796608,2259648316.414475,45932.033774507414,2259602384.3807006,260620389.27346385,True,direct_cheaper_than_mining,-2259602384.3807006,-1998981995.1072369,3.0742351999443143
23986, 23987 (1999 NB63),23987,N,5.189751229175857,0.1676962041130957,21.41044832982573,4.319449647751793,279.7433315142422,67.61548410104913,3.38192,20.585,2320418077269923.0,232041807726992.3,0.9999,C,0.9999,6074392872434353.0,9.48358963776751,39949.409210524595,55000.0,1974539.1284094504,820.3389830508474,2624.8474576271187,743.1694915254237,4188.35593220339,2034949832.5481594,39945.41426960354,2034909887.1338897,245457855.19006136,True,direct_cheaper_than_mining,-2034909887.1338897,-1789452031.9438283,11.467093585772457
82741, 82742 (2001 QR2),82742,N,2.392001830862881,0.2762686795285743,25.27605070956222,1.731166643620461,180.2741814953106,91.29729486794346,0.914794,4.875,30820344321018.85,3082034432101.8853,0.9999,C,0.9999,80681529636175.0,5.64802877179559,52011.56760628664,55000.0,1596225.4380631072,474.5762711864407,0.0,248.38983050847457,722.9661016949153,1656557452.9542243,52006.36644952601,1656505446.5877748,276005077.7681059,True,direct_cheaper_than_mining,-1656505446.5877748,-1380500368.8196688,1.9793733105952507
604793,       (2010 HC102),2010 HC102,N,2.63621867642186,0.048653030833793,9.908155418036888,2.507958647873286,113.6931417409539,212.5125155675377,1.49998,2.818,5953009731601.231,595300973160.1232,0.9999,C,0.9999,15583795108903.748,6.517572220192882,80826.4012772808,55000.0,793834.8764761166,416.9491525423729,792.4067796610169,433.93220338983053,1643.2881355932204,853999994.1304235,80818.31863715308,853919175.8117864,348978181.6535971,True,direct_cheaper_than_mining,-853919175.8117864,-504940994.1581893,4.499077715518742
602619,       (2010 GE1),2010 GE1,N,3.140200783887228,0.0795935074792406,18.77341231362368,2.890261189308583,251.971277310151,237.0148252500756,1.94862,3.507,11474160588633.389,1147416058863.3386,0.9999,C,0.9999,30037069603752.32,7.839621623933039,52418.55403459983,55000.0,1489203.4805740814,503.3898305084746,990.5084745762712,495.77966101694915,1989.677966101695,1549513234.8980408,52413.31217919637,1549460821.5858617,277035764.3669733,True,direct_cheaper_than_mining,-1549460821.5858617,-1272425057.2188883,5.447441385630924
99876, 99877 (2002 PB78),99877,N,3.952130139929309,0.2716129455280329,14.26595529794682,2.878680431512993,347.2263309958313,25.33190320182121,1.88488,15.011,899792773831036.9,89979277383103.69,0.9999,C,0.9999,2355478465526274.5,9.465103821057877,65129.21554325745,55000.0,1384734.6435231504,762.7118644067797,2822.9491525423728,1176.1016949152543,4761.762711864407,1445022668.3290033,65122.70262170312,1444957545.6263816,309225310.6720165,True,direct_cheaper_than_mining,-1444957545.6263816,-1135732234.9543653,13.036995788814256
335612,335613 (2006 FM9),335613,N,3.06538290943754,0.3153567364416564,23.92672447782912,2.098693759173288,315.2048083571992,251.7006049440935,1.22421,4.700,27618952300643.363,2761895230064.3364,0.9999,C,0.9999,72300922252993.1,6.664314769431603,47824.44730832637,55000.0,1909403.7581644463,532.2033898305085,594.3050847457627,928.7118644067797,2055.2203389830506,1969800914.1461446,47819.66486359554,1969753094.481281,265401262.80346587,True,direct_cheaper_than_mining,-1969753094.481281,-1704351831.6778152,5.6268866228146495
210398,210399 (2007 VV240),210399,N,3.232717247209788,0.0928705201817748,21.69614287174653,2.93249311486082,87.4164986527501,327.5288712245281,1.96431,6.473,72149021793301.1,7214902179330.109,0.9999,C,0.9999,188871784799217.5,7.637745260687263,51296.05209370634,55000.0,1946871.221149968,618.6440677966102,1089.5593220338983,681.3220338983051,2389.5254237288136,2007276170.3639672,51290.92248849697,2007224879.4414787,274193046.2142413,True,direct_cheaper_than_mining,-2007224879.4414787,-1733031833.2272375,6.5421640622281005
609249,       (2010 MY44),2010 MY44,N,3.960286653641537,0.3088662881527414,13.18119029719386,2.737087614910434,226.8707407745403,152.0372719304411,1.74784,2.940,6760138868566.431,676013886856.6431,0.9999,C,0.9999,17696698608812.645,8.738084972595788,58881.60508544103,55000.0,1208118.5469232684,935.5932203389831,148.57627118644066,743.1694915254237,1827.3389830508477,1268369835.5810285,58875.71692493249,1268310959.8641036,293403337.4418449,True,direct_cheaper_than_mining,-1268310959.8641036,-974907622.4222586,5.0029814731029365
