dataset_index,full_name,pdes,neo,a,e,i,moid,diameter,E_M_useful_kg,sigma_M_kg,value_usd,comp_class,value_per_kg,total_mass_kg,dv_out_kms,cargo_LLO_kg,dry_mass_kg,prop_mass_kg,tof_out_days,loiter_days,tof_ret_days,mission_time_days,mission_cost_usd,revenue_LLO_usd,net_cost_usd,direct_cost_usd,feasible,verdict,profit_usd,direct_minus_mining_usd,total_time_years
445283,445284 (2009 WH138),445284,N,2.160785011726233,0.1378009654860709,2.912091041953844,0.874759,1.220,483051147599.4592,48305114759.94592,0.9999,C,0.9999,1264531799998.5842,5.679382936021791,374796.0849895331,55000.0,457455.4991239953,301.6949152542373,693.3559322033898,248.38983050847457,1243.4406779661017,517550649.8678131,374758.6053810342,517175891.2624321,1093451688.3777826,True,mining_cheaper_than_direct,-517175891.2624321,576275797.1153505,3.4043550389215653
31231, 31232 Slavonice (1998 CF),31232,N,2.859267940599112,0.0178198229556012,12.23331539165963,1.83233,7.272,102299906512921.52,10229990651292.152,0.9999,C,0.9999,267800802389846.9,6.7309373758553805,352031.3170215926,55000.0,1253484.9598767157,647.457627118644,940.9830508474575,433.93220338983053,2022.3728813559323,1313745684.74837,351996.11388989043,1313393688.63448,1035800278.8009903,True,direct_cheaper_than_mining,-1313393688.63448,-277593409.83348966,5.536955185094955
244477,244478 (2002 SY22),244478,N,3.998556008845006,0.1661836003380075,8.868688348385172,2.3378,10.050,270029872561422.8,27002987256142.28,0.9999,C,0.9999,706884483145085.9,8.82096381530404,349337.2991513891,55000.0,1397823.9663759181,1079.6610169491526,0.0,743.1694915254237,1822.8305084745762,1458114713.7609243,349302.365421474,1457765411.3955028,1028977721.7751061,True,direct_cheaper_than_mining,-1457765411.3955028,-428787689.62039673,4.9906379424355265
607005,       (2010 KD85),2010 KD85,N,3.787449118592075,0.3037548672190652,25.42025688166069,1.76276,2.617,4767874266448.343,476787426644.8343,0.9999,C,0.9999,12481346247246.97,8.59713337813524,327860.4405602324,55000.0,1957246.5221921892,445.7627118644068,1881.966101694915,372.08474576271186,2699.8135593220336,2017653629.468805,327827.6545161764,2017325801.8142889,974587922.0281756,True,direct_cheaper_than_mining,-2017325801.8142889,-1042737879.7861133,7.39168667849975
15397, 15398 (1997 UZ23),15398,N,5.128779956576502,0.0253402996988217,28.47030665993791,4.02556,35.516,1.191751667153e+16,1191751667153000.0,0.9999,C,0.9999,3.119768762180628e+16,9.892571915455848,314389.4105935729,55000.0,2439158.6777359955,993.2203389830509,0.0,805.0169491525423,1798.2372881355932,2499666022.7409644,314357.97165251354,2499351664.769312,940472754.8047345,True,direct_cheaper_than_mining,-2499351664.769312,-1558878909.9645774,4.923305374772329
466434,466435 (2013 TE57),466435,N,3.062111710190651,0.086451733257112,15.23279434586091,1.80645,3.296,9525224827022.951,952522482702.2954,0.9999,C,0.9999,24935143526238.098,7.29689263365149,342210.4568491559,55000.0,1155439.2836235196,647.457627118644,940.9830508474575,433.93220338983053,2022.3728813559323,1215679614.9945133,342176.235803471,1215337438.75871,1010929108.0078194,True,direct_cheaper_than_mining,-1215337438.75871,-204408330.7508905,5.536955185094955
38612, 38613 (2000 AV110),38613,N,3.976482264518872,0.1408717876412895,15.19731426633221,2.40851,24.016,3684814680590601.5,368481468059060.25,0.9999,C,0.9999,9646111729294770.0,10.22988835548886,342152.105848782,55000.0,1745982.0462139875,733.8983050847457,99.05084745762711,990.5593220338983,1823.508474576271,1806345210.4796002,342117.89063819713,1806003092.588962,1010781335.0357202,True,direct_cheaper_than_mining,-1806003092.588962,-795221757.5532418,4.992494112460701
610247,       (2010 NL32),2010 NL32,N,3.006821716657265,0.0341379455680646,21.92994591236901,1.96364,3.643,12861485721231.78,1286148572123.178,0.9999,C,0.9999,33668810788564.867,8.150157196372117,336252.4519363619,55000.0,1473972.969338558,561.0169491525423,990.5084745762712,433.93220338983053,1985.4576271186443,1534279555.7161803,336218.82669116824,1533943336.8894892,995840556.1731706,True,direct_cheaper_than_mining,-1533943336.8894892,-538102780.7163186,5.435886727224214
3654,  3655 Eupraksia (1978 SA3),3655,N,4.018049974048776,0.2011241229774783,3.821290700126708,2.21223,36.660,1.310662905217491e+16,1310662905217491.0,0.9999,C,0.9999,3.431054725700238e+16,8.726565464159455,348692.8775716276,55000.0,1111551.1671379001,647.457627118644,198.10169491525423,990.5593220338983,1836.1186440677966,1171782369.7806647,348658.00828387047,1171433711.7723808,1027345734.4652739,True,direct_cheaper_than_mining,-1171433711.7723808,-144087977.30710697,5.0270188749289435
215339,215340 (2001 UX210),215340,N,5.120623831126637,0.0618302630234187,17.53908509542507,3.84585,11.670,422791448271025.0,42279144827102.5,0.9999,C,0.9999,1106783895997447.6,10.053415124938502,328435.7936160269,55000.0,2595033.499384447,1137.2881355932204,148.57627118644066,928.7118644067797,2214.576271186441,2655573266.3523192,328402.95003666525,2655244863.4022827,976044994.4093912,True,direct_cheaper_than_mining,-2655244863.4022827,-1679199868.9928916,6.063179387231871
55567, 55568 (2002 CU15),55568,N,5.124742913536162,0.0344642759392187,25.7421410061081,3.9759,27.608,5597814013968515.0,559781401396851.5,0.9999,C,0.9999,1.4653963387352132e+16,9.809585877678684,322146.36793690687,55000.0,2216679.6116012437,935.5932203389831,0.0,866.8644067796611,1802.4576271186443,2277140680.9604564,322114.15330011316,2276818566.807156,960117124.8022692,True,direct_cheaper_than_mining,-2276818566.807156,-1316701442.0048869,4.9348600331790395
459735,459736 (2013 QA6),459736,N,3.566297738863269,0.0306828366902622,16.7280629312836,2.44767,4.992,33093092727558.82,3309309272755.8823,0.9999,C,0.9999,86631132794656.6,8.195674857195584,339608.12778202223,55000.0,1539002.8949655043,618.6440677966102,2476.271186440678,557.6271186440678,3652.5423728813557,1599323007.5676572,339574.166969244,1598983433.400688,1004338751.4043963,True,direct_cheaper_than_mining,-1598983433.400688,-594644681.9962916,10.000116010626574
507012,507013 (2008 TP165),507013,N,4.064415433467849,0.2995089553724591,14.30837575803136,1.86646,4.553,25107679550702.19,2510767955070.219,0.9999,C,0.9999,65726909818592.125,10.563533754084723,344604.4794964792,55000.0,1780657.8720248549,820.3389830508474,49.52542372881356,1361.6440677966102,2231.508474576271,1841028248.862236,344570.01904852956,1840683678.8431876,1016991931.9457276,True,direct_cheaper_than_mining,-1840683678.8431876,-823691746.89746,6.109537233610598
